timestamps,TP9,AF7,AF8,TP10,Right AUX
1732204953.017,-29.297,-20.020,-23.438,-57.617,0.000
1732204953.021,-32.715,-23.438,-29.785,-54.199,0.000
1732204953.025,-33.203,-24.902,-35.645,-42.480,0.000
1732204953.029,-38.086,-28.320,-21.973,-25.391,0.000
1732204953.033,-35.156,-23.926,-23.926,-25.391,0.000
1732204953.037,-23.438,-18.555,-28.809,-26.367,0.000
1732204953.041,-30.273,-24.902,-20.996,-27.344,0.000
1732204953.045,-30.273,-23.926,-19.531,-17.090,0.000
1732204953.048,-18.555,-18.066,-17.578,-26.367,0.000
1732204953.052,-7.324,-11.719,-12.207,-20.508,0.000
1732204953.056,-20.020,-14.160,-10.742,-30.762,0.000
1732204953.060,-36.621,-18.555,-18.555,-41.504,0.000
1732204953.064,-32.715,-17.090,-25.879,-24.902,0.000
1732204953.068,-23.926,-14.648,-15.625,-53.223,0.000
1732204953.072,-37.598,-13.184,-19.043,-54.688,0.000
1732204953.076,-25.391,-14.160,-26.855,-7.812,0.000
1732204953.080,-15.625,-15.625,-22.949,-4.395,0.000
1732204953.084,-5.371,-14.160,-19.531,-13.184,0.000
1732204953.088,-8.789,-12.207,-20.508,-17.090,0.000
1732204953.092,-33.691,-17.578,-25.879,-32.715,0.000
1732204953.095,-17.090,-15.137,-13.184,-26.367,0.000
1732204953.099,-18.555,-15.137,-9.277,0.488,0.000
1732204953.103,-42.969,-19.043,-22.461,-15.625,0.000
1732204953.107,-31.250,-12.207,-30.273,-21.973,0.000
1732204953.111,-12.207,-8.789,-28.320,-16.113,0.000
1732204953.115,-23.438,-10.742,-29.785,-35.645,0.000
1732204953.119,-35.156,-13.672,-31.738,-51.270,0.000
1732204953.123,-47.363,-17.090,-26.855,-54.199,0.000
1732204953.127,-30.273,-15.625,-21.484,-28.320,0.000
1732204953.131,-18.066,-20.508,-22.949,-41.016,0.000
1732204953.135,-35.156,-18.555,-28.320,-27.344,0.000
1732204953.138,-51.270,-20.508,-19.043,-1.953,0.000
1732204953.142,-23.438,-20.020,-25.879,-5.859,0.000
1732204953.146,-21.484,-13.184,-30.273,-9.277,0.000
1732204953.150,-43.457,-16.602,-16.113,-42.480,0.000
1732204953.154,-33.691,-16.113,-18.066,-47.852,0.000
1732204953.158,-20.020,-14.160,-26.367,-53.223,0.000
1732204953.162,-28.320,-8.789,-20.996,-62.500,0.000
1732204953.166,-43.457,-10.254,-23.926,-71.777,0.000
1732204953.170,-49.316,-24.414,-23.438,-54.688,0.000
1732204953.174,-40.039,-24.902,-20.508,-32.715,0.000
1732204953.178,-24.902,-19.531,-21.484,-34.180,0.000
1732204953.181,-34.668,-26.855,-20.020,-45.898,0.000
1732204953.185,-42.969,-22.461,-18.066,-50.293,0.000
