timestamps,TP9,AF7,AF8,TP10,Right AUX
1733122772.760,-33.691,-40.039,-43.457,-31.250,0.000
1733122772.764,-19.531,-33.691,-42.969,-34.180,0.000
1733122772.768,-23.926,-39.062,-47.363,-29.297,0.000
1733122772.772,-41.016,-46.875,-48.340,-29.297,0.000
1733122772.776,-51.758,-41.016,-48.828,-41.016,0.000
1733122772.780,-40.039,-31.738,-46.875,-45.898,0.000
1733122772.784,-21.973,-29.785,-44.922,-36.133,0.000
1733122772.788,-19.043,-31.738,-46.387,-29.785,0.000
1733122772.792,-32.715,-33.203,-49.316,-37.109,0.000
1733122772.796,-43.457,-34.668,-48.340,-40.527,0.000
1733122772.799,-32.227,-31.250,-47.852,-41.992,0.000
1733122772.803,-18.555,-28.809,-49.805,-41.016,0.000
1733122772.807,-20.996,-23.926,-45.410,-36.621,0.000
1733122772.811,-27.832,-20.996,-40.039,-29.785,0.000
1733122772.815,-40.039,-32.227,-41.016,-25.879,0.000
1733122772.819,-36.133,-33.691,-37.598,-26.855,0.000
1733122772.823,-20.996,-25.391,-29.297,-21.484,0.000
1733122772.827,-18.555,-32.715,-34.180,-19.043,0.000
1733122772.831,-35.156,-42.969,-38.574,-22.949,0.000
1733122772.835,-47.363,-40.527,-37.598,-25.391,0.000
1733122772.838,-40.039,-36.133,-41.992,-33.203,0.000
1733122772.842,-27.344,-34.180,-45.410,-32.715,0.000
1733122772.846,-18.555,-38.574,-46.875,-24.902,0.000
1733122772.850,-24.414,-38.574,-49.316,-22.949,0.000
1733122772.854,-42.480,-33.203,-45.898,-32.227,0.000
1733122772.858,-36.133,-33.691,-41.016,-34.668,0.000
1733122772.862,-9.766,-31.250,-40.039,-25.879,0.000
1733122772.866,-8.789,-30.273,-40.527,-29.785,0.000
1733122772.870,-22.461,-40.039,-42.480,-32.715,0.000
1733122772.874,-41.992,-43.457,-43.457,-33.691,0.000
1733122772.878,-45.410,-37.109,-45.410,-39.062,0.000
1733122772.881,-29.785,-36.621,-41.992,-37.598,0.000
1733122772.885,-23.926,-34.180,-39.551,-34.180,0.000
1733122772.889,-24.414,-36.133,-42.480,-30.273,0.000
1733122772.893,-33.691,-45.410,-42.480,-20.020,0.000
1733122772.897,-36.133,-36.133,-37.598,-19.531,0.000
1733122772.901,-21.484,-25.391,-32.227,-23.438,0.000
1733122772.905,-13.184,-27.344,-32.227,-13.672,0.000
1733122772.909,-15.137,-28.809,-31.738,-8.301,0.000
1733122772.913,-31.738,-34.668,-33.691,-17.578,0.000
1733122772.917,-44.922,-41.504,-38.086,-30.273,0.000
1733122772.921,-30.762,-40.527,-36.621,-27.832,0.000
1733122772.924,-20.508,-41.016,-29.785,-20.020,0.000
1733122772.928,-20.020,-39.062,-27.344,-20.020,0.000
1733122772.932,-31.250,-36.133,-30.762,-25.879,0.000
1733122772.936,-37.598,-39.062,-33.203,-25.879,0.000
1733122772.940,-24.902,-35.645,-30.762,-24.414,0.000
1733122772.944,-16.113,-28.809,-27.832,-20.996,0.000
1733122772.948,-17.578,-30.273,-35.156,-11.230,0.000
1733122772.952,-30.762,-35.156,-41.992,-8.301,0.000
1733122772.955,-37.598,-35.645,-38.574,-16.113,0.000
1733122772.960,-24.902,-28.809,-36.133,-28.320,0.000
1733122772.963,-9.766,-30.762,-36.133,-25.879,0.000
1733122772.967,-9.766,-31.250,-33.203,-16.602,0.000
1733122772.971,-20.020,-27.832,-33.203,-8.789,0.000
1733122772.975,-44.922,-35.645,-40.039,-14.648,0.000
1733122772.979,-41.504,-41.992,-43.457,-19.531,0.000
1733122772.983,-22.461,-43.945,-38.086,-14.648,0.000
1733122772.987,-21.973,-39.062,-33.691,-14.160,0.000
